winnerPlayer,nodeCount,time,hit_rate
1,514,0.130628,14.59
1,514,0.132047,14.59
1,514,0.127578,14.59
1,514,0.196767,14.59
1,6416,0.326445,15.85
1,6416,0.320084,15.85
1,6416,0.320534,15.85
2,7,0.345026,0.00
2,7,0.353374,0.00
2,7,0.350599,0.00
2,3688,0.295574,12.97
2,3688,0.300560,12.97
2,3688,0.292848,12.97
2,6,0.137182,0.00
2,6,0.140007,0.00
2,6,0.141815,0.00
2,6,0.135648,0.00
2,6,0.142447,0.00
2,6,0.138563,0.00
1,1141,0.229227,11.00
1,1141,0.229863,11.00
1,1141,0.233013,11.00
1,1141,0.231885,11.00
1,444,0.250322,10.37
1,444,0.249067,10.37
1,444,0.247945,10.37
1,444,0.245847,10.37
1,2346,0.111244,15.39
1,2346,0.110722,15.39
1,2346,0.107068,15.39
1,2346,0.112362,15.39
1,2346,0.109794,15.39
1,2346,0.110517,15.39
1,2346,0.105037,15.39
2,720,0.269760,15.45
2,720,0.265991,15.45
2,720,0.265286,15.45
2,720,0.264916,15.45
1,138,0.211281,8.98
1,138,0.204420,8.98
1,138,0.207650,8.98
1,138,0.201535,8.98
1,469,0.103177,14.22
1,469,0.104881,14.22
1,469,0.102198,14.22
1,469,0.100797,14.22
1,469,0.106606,14.22
1,469,0.101023,14.22
1,469,0.103301,14.22
1,469,0.102288,14.22
2,162,0.198427,8.70
2,162,0.163197,8.70
2,162,0.167492,8.70
2,162,0.184653,8.70
2,162,0.169203,8.70
2,162,0.180307,8.70
2,162,0.164312,8.70
2,162,0.253829,8.70
2,162,0.174146,8.70
2,162,0.175673,8.70
2,162,0.178136,8.70
2,162,0.194999,8.70
2,162,0.209260,8.70
2,162,0.209332,8.70
2,162,0.184031,8.70
2,162,0.184360,8.70
2,162,0.181532,8.70
2,162,0.180076,8.70
2,162,0.181032,8.70
2,162,0.172311,8.70
2,162,0.184145,8.70
2,162,0.184253,8.70
2,162,0.180381,8.70
2,162,0.180294,8.70
2,162,0.186403,8.70
2,162,0.176779,8.70
2,162,0.189406,8.70
2,162,0.182467,8.70
2,162,0.170076,8.70
2,162,0.173870,8.70
2,162,0.181665,8.70
2,162,0.176907,8.70
2,162,0.191726,8.70
2,162,0.167739,8.70
2,162,0.162726,8.70
2,162,0.184345,8.70
2,162,0.183085,8.70
2,162,0.166538,8.70
2,162,0.170298,8.70
2,162,0.176204,8.70
2,162,0.173781,8.70
2,162,0.174855,8.70
2,162,0.186820,8.70
2,162,0.206243,8.70
2,162,0.200579,8.70
2,162,0.174106,8.70
2,162,0.177602,8.70
2,162,0.181961,8.70
2,162,0.187390,8.70
2,162,0.183369,8.70
